"Facility Name",,"Address","City","County","Zip","Telephone"
"Palos Verdes Villa",116,"29661 S. Western Ave.","Rancho Palos
Verdes","Los Angeles",90275,"(310) 547-9941"
"Valley View Retirement Center",116,"7720 Woodman Ave.","Panorama City","Los Angeles",91402,"(818) 997-6756"
"Stacie Chalet Stockton",114,"517 Fulton St.","Stockton","San Joaquin",95204,"(209) 466-2116"
"Golden Living Inc.",113,"3223 Duke St.","San Diego","San Diego",92110,"(619) 222-1109"
"Country Club Manor",112,"2100 Butano Dr.","Sacramento","Sacramento",95825,"(916) 481-9240"
"Hayworth Terrace *",111,"325 N. Hayworth Ave.","Los Angeles","Los Angeles",90048,"(323) 655-3101"
"Olivia Isabel Manor**",110,"21515 South Figueroa St.","Carson","Los Angeles",90745,"(310) 328-5116"
"Walnut House",110,"3401 Walnut Ave.","Carmichael","Sacramento",95608,"(916) 483-6613"
"Gardena Retirement Center",108,"14741 S. Vermont Ave.","Gardena","Los Angeles",90247,"(310) 327-4091"
"Wildomar Assisted Living",108,"32325 South Pasadena St.","Wildomar","Riverside",92595,"(951) 678-1555"
"Harvest Retirement",106,"9011 Knott Ave.","Buena Park","Orange",90620,"(714) 821-4130"
"Fair Oaks Estates",106,"8845 Fair Oaks Blvd.","Carmichael","Sacramento",95608,"(916) 944-2077"
"Belmar Villa LLC*",100,"2020 N. Weber Ave.","Fresno","Fresno",93705,"(559) 486-5977"
"Fine Gold Manor",100,"10537 Magnolia Blvd.","North Hollywood","Los Angeles",91601,"(818) 761-5777"
"Le Bleu Chateau Gold",100,"1911 Grismer Ave.","Burbank","Los Angeles",91504,"(818) 295-2727"
"Laurel Canyon Retirement Comm.",100,"5527 Laurel Canyon Blvd.","Valley Village","Los Angeles",91607,"(818) 769-6626"
"Vista Cove at San Gabriel",100,"901 W. Santa Anita St.","San Gabriel","Los Angeles",91776,"(626) 289-8889"
"Four Seasons Assisted Living*",99,"5400 Stine Road","Bakersfield","Kern",93313,"(209) 406-6610"
"Evergreen Retirement *",99,"225 North Evergreen","Burbank","Los Angeles",91505,"(818) 843-8268"
"Prospect Manor Retirement",99,"800 Prospect Ave.","South Pasadena","Los Angeles",91030,"(626) 799-1141"
"AvanteGarde Senior Living",98,"5645 Lindley Ave.","Tarzana","Los Angeles",91356,"(818)-881-0055"
"Glen Park East Retirement
Community",98,"1250 Boynton St.","Glendale","Los Angeles",91205,"(818) 246-9000"
"Golden Manor Rest Home",98,"3535 Overland Ave.","Los Angeles","Los Angeles",90034,"(310) 836-0510"
"West Glenn Manor",98,"7242 Westminster Blvd.","Westminster","Orange",92683,"(714) 898-2131"
"Centinela Assisted Living",96,"1000 S. Flowers St.","Inglewood","Los Angeles",90301,"(310) 674-3216"
"Residences at Royal Bellingham",96,"12229 Chandler Blvd.","Valley Village","Los Angeles",91607,"(818) 908-4395"
"Grove Care and Wellness, The",90,"3401 Lemon St.","Riverside","Riverside",92501,"(951) 686-8202"
"Stacie’s Chalet *",90,"9847 Folsom Blvd","Sacramento","Sacramento",95827,"(916) 363-9468"
"Yorkshire House",88,"26933 Cornell St.","Hemet","Riverside",92544,"(951) 658-1068"
"Gramercy Court",85,"2200 Gramercy Dr.","Sacramento","Sacramento",95825,"(916) 482-2200"
"River Fountains of Lodi",80,"311 West Turner Rd.","Lodi","San Joaquin",95240,"(209) 334-3763"
"Wagner Heights Residential",80,"2435 Wagner Heights Rd.","Stockton","San Joaquin",95209,"(209) 477-5353"
"Arbor Place",76,"17 Louie Ave.","Lodi","San Joaquin",95240,"(209) 369-8282"
"Southland Living",75,"11701 Studebaker Rd.","Norwalk","Los Angeles",90650,"(562) 868-9761"
"CalOaks Senior Living *",74,"3891 Polk St.","Riverside","Riverside",92505,"(951) 202-2276"
"Bella Vista",72,"1760 North Fair Oaks Ave.","Pasadena","Los Angeles",91103,"(626) 794-4103"
"Foothill Retirement",72,"6720 Saint Esteban St.","Tujunga","Los Angeles",91402,"(818) 353-3350"
"Rehab of Fresno Assisted Living",70,"1665 M St.","Fresno","Fresno",93721,"(559) 268-5362"
"Good Samaritan Retirement",70,"1515 Jamacha Way","El Cajon","San Diego",92019,"(619) 590-1515"
"Arbor Vista",69,"811 E. Washington Blvd.","Pasadena","Los Angeles",91104,"(626) 797-7296"
"Coral Oaks Care Living",64,"4271 Carlin Ave.","Lynwood","Los Angeles",90262,"(310) 763-4881"
"Heritage Gardens Health",64,"25271 Barton Road","Loma Linda","San Bernardino",92354,"(909) 796-0219"
"Rose Garden Residential Care",63,"1350 N. Wabash Ave.","Mentone","San Bernardino",92359,"(909) 794-1040"
"Little Sisters of the Poor",62,"2100 South Western Ave.","San Pedro","Los Angeles",90732,"(310) 548-0625"
"Villa Luren**",62,"13749 Crewe St.","Whittier","Los Angeles",90605,"(562) 941-3813"
"Victor Royale Adult Residential
Living",60,"120 E. Laurel St.","Glendale","Los Angeles",91205,"(818) 243-7442"
"Bellaken Garden",58,"2780 26th Ave.","Oakland","Alameda",94601,"(510) 536-1838"
"Oak Park Manor",54,"501 S College Ave.","Claremont","Los Angeles",91711,"(909) 626-0117"
"Bella Vista at Lincoln",50,"2612 Lincoln Ave.","Altadena","Los Angeles",91101,"(626) 794-4103"
"Glen Park at Monrovia",49,"110 N. Mountain Ave.","Monrovia","Los Angeles",91016,"(626) 357 6818"
"Chateau at Carmichael Park, The",49,"7125 Fair Oaks Blvd.","Carmichael","Sacramento",95608,"(916) 481-7105"
"Twin Rivers at Natomas",48,"421 San Juan Rd.","Sacramento","Sacramento",95834,"(916) 993-8435"
"The Manse *",48,"2354 Watson Way","Vista","San Diego",92081,"(760) 727-1221"
"Millbrae Assisted Living Center",48,"1001 Hemlock Ave.","Millbrae","San Mateo",94030,"(650) 689-5776"
"Evergreen Chateau",46,"13530 Sherman Way","Van Nuys","Los Angeles",91405,"(818) 902-9501"
"Citrus Heights Terrace",45,"7952 Old Auburn Rd.","Citrus Heights","Sacramento",95610,"(916) 727-4400"
"Mountain View Cottages *",40,"715 W. Baseline Road","Claremont","Los Angeles",91711,"(909) 626-6633"
"Courtyard Terrace",40,"3408 Alta Arden Expwy.","Sacramento","Sacramento",95825,"(916) 486-1281"
"Three Bells of Montara *",38,"1185 Acacia St.","Montara","San Mateo",94037,"(650) 728-5483"
"Mirabel Lodge",34,"6950 Mirabel Road","Forestville","Sonoma",95436,"(707) 887-1754"
"Mountain Manor Senior Res.",33,"6101 Fair Oaks Blvd.","Carmichael","Sacramento",95608,"(916) 488-7211"
"North Lake Villas Inc.",30,"2851 N. Lake Ave.","Altadena","Los Angeles",91001,"(626) 398-8668"
"Washington Manor",30,"5222 Washington Blvd.","Los Angeles","Los Angeles",90016,"(323) 939-0006"
"Harbor View Chateau",30,"2360 Albatross St.","San Diego","San Diego",92101,"(619) 233-8382"
"House of Psalms Assisted Living",23,"1525 7th Ave.","Oakland","Alameda",94606,"(510) 251-2521"
"AvanteGarde Senior Living",22,"5647 Lindley Ave.","Tarzana","Los Angeles",91356,"(818)-881-0055"
"Promise Assisted Living LLC",22,"1231 S. Alvarado St.","Los Angeles","Los Angeles",90006,"(310) 205-2591"
"Crystal Care Villa",20,"6410 E. Reposo St.","Joshua Tree","San Bernardino",92252,"(760) 366-3845"
"Fruitridge Villa",15,"5490 Enrico Blvd.","Sacramento","Sacramento",95820,"(916) 706-3858"
"Oak Hill Residential Care VI",15,"662 Tranquility Glen","Escondido","San Diego",92027,"(760) 743-8843"
"Oak Hill Residential Care VII",15,"1353 Oak Hill Dr.","Escondido","San Diego",92027,"(760) 743-8843"
"Dee’s Group Home Inc.",14,"941 W. 77th St.","Los Angeles","Los Angeles",90044,"(323) 752-8358"
"Oak Hill Residential Care II",14,"622 Tranquility Glen","Escondido","San Diego",92027,"(760) 743-8843"
"Oak Hill Residential Care III",14,"632 Tranquility Glen","Escondido","San Diego",92027,"(760) 743-8843"
"Oak Hill Residential Care IV",14,"642 Tranquility Glen","Escondido","San Diego",92027,"(760) 743-8843"
"Oak Hill Residential Care V",14,"652 Tranquility Glen","Escondido","San Diego",92027,"(760) 743-8843"
"Cross Creek Cottage",10,"138 East 18th St.","Costa Mesa","Orange",92627,"(949) 722-1014"
"Caring Families, EGF",10,"9308 Elk Grove-Florin Rd.","Elk Grove","Sacramento",95624,"(916) 685-1134"
"Caring Families-BV1",10,"8712 Bray Vista Way","Elk Grove","Sacramento",95624,"(916) 685-0404"
"D’vine Home RCFE",10,"18101 Juniper St.","Hesperia","San Bernardino",92345,"(760) 981-4595"
"Country Club Guest Home",10,"25533 Rua Michelle","Escondido","San Diego",92026,"(760) 747-0957"
"Desert Cypress Elder Care",8,"69584 Cypress Road","Cathedral City","Riverside",92234,"(760) 409-3188"
"At Sunny Hills Home Care",8,"26600 Ironwood Ave.","Moreno Valley","Riverside",92555,"(951) 924-3289"
"Tenenbaum Villa",8,"3463 Circulo Adorno","Carlsbad","San Diego",92009,"(760) 942-5048"
"Elim Assisted Living II",6,"18787 Carlton Ave.","Castro Valley","Alameda",94546,"(888) 818-8101"
"Lotus Residential Care",6,"1738 Bobolink Court","Hayward","Alameda",94545,"(510) 604-0348"
"Agape Assisted Living",6,"1841 Andrea Ln.","Concord","Contra Costa",94519,"(925) 788-2530"
"Buttons Elderly Care",6,"1448 Buttons Ct.","Oakley","Contra Costa",94561,"(925) 354-5144"
"Elim Assisted Living",6,"3653 Wren Ave.","Concord","Contra Costa",94519,"(888) 818-8101"
"Elim Assisted Living III",6,"5126 Coral Court","Concord","Contra Costa",94521,"(888) 818-8101"
"Home Sweet Care Home",6,"1584 Dianda Dr.","Concord","Contra Costa",94521,"(925) 689-2356"
"Magnolia Guest Home",6,"3006 Woodlawn Dr.","Walnut Creek","Contra Costa",94597,"(925) 642-0427"
"Paradise Villa Senior Care",6,"836 San Simeon Dr.","Concord","Contra Costa",94518,"(925) 446-6651"
"Attentive Senior Care LLC",6,"36 E. Tuolumne","Fresno","Fresno",93706,"(559) 449-3566"
"Fresno Guest Home I",6,"6538 N. Chance","Fresno","Fresno",93730,"(559) 434-1839"
"Fresno Guest Home II",6,"2214 E. Warner","Fresno","Fresno",93710,"(559) 299-0867"
"Fresno Guest Home III",6,"2878 E. Magill","Fresno","Fresno",93710,"(559) 298-5815"
"Fresno Guest Home IV",6,"6817 N. Rowell Ave.","Fresno","Fresno",93710,"(559) 298-5815"
"Fresno Guest Home V",6,"2776 E. Magill","Fresno","Fresno",93710,"(559) 322-7584"
"Fresno Guest Home VI",6,"2267 E. Palo Alto","Fresno","Fresno",93710,"(559) 298-4746"
"Fresno Guest Home VII",6,"2228 E. Los Altos Ave.","Fresno","Fresno",93710,"(559) 434-1839"
"Fresno Guest Home VIII",6,"6705 N. Maple Ave.","Fresno","Fresno",93710,"(559) 434-1839"
"Fresno Guest Home IX",6,"2410 Los Altos Ave.","Fresno","Fresno",93710,"(559) 434-4621"
"Fresno Guest Home X",6,"6590 N. Jackson Ave.","Fresno","Fresno",93710,"(559) 434-1839"
"Golden Garden Care",6,"5738 Lola Ave.","Fresno","Fresno",93722,"(559) 392-0393"
"Ideal Home",6,"3618 W. Dayton Ave.","Fresno","Fresno",93722,"(559) 275-2488"
"Bethany Joy Garden",6,"207 Riesling Vines St.","Bakersfield","Kern",93314,"(661) 679-4822"
"Companion Care Facilities",6,"4509 Foxboro Ave.","Bakersfield","Kern",93309,"(661) 529-0133"
"Mulberry Place Assisted Living",6,"809 Mulberry St.","Tehachapi","Kern",93561,"(661) 822-8077"
"A Place for All Seasons",6,"24011 Hatteras St.","Woodland Hills","Los Angeles",91367,"(818) 370-9916"
"A Rainbow of Care *",6,"1147 Calle Amapola","San Dimas","Los Angeles",91773,"(626) 222-7067"
"Adat Shalom I",6,"22600 Kittridge St.","West Hills","Los Angeles",91307,"(818) 704-9090"
"Adat Shalom III",6,"22615 Kittridge St.","West Hills","Los Angeles",91307,"(818) 704-9090"
"Adat Shalom IV",6,"22625 Kittridge St.","West Hills","Los Angeles",91307,"(818) 704-9090"
"Adat Shalom Manor",6,"6624 Sale Ave.","West Hills","Los Angeles",91307,"(818) 704-9090"
"Adat Shalom V Board and Care,
Inc.",6,"22626 Kittridge St.","West Hills","Los Angeles",91307,"(818) 704-9090"
"Adat Shalom VI",6,"6636 Sale Ave.","West Hills","Los Angeles",91307,"(818) 704-9090"
"ADL Best Care",6,"5431 Monroe St.","Hollywood","Los Angeles",90038,"(818) 288-4594"
"ADL Best Care",6,"5433 Monroe St.","Hollywood","Los Angeles",90038,"(818) 288-4594"
"Aundrey’s Residential Care, Inc.",6,"5740 Ostrom Ave.","Encino","Los Angeles",91316,"(818) 585-7956"
"Best Elder Care*",6,"97620 Simi St.","Palmdale","Los Angeles",93552,"(661) 209-2027"
"Best Elder Care III",6,"38648 Cortina Way","Palmdale","Los Angeles",93550,"(661) 274-2413"
"Casa Cerritos",6,"10802 Andy St.","Cerritos","Los Angeles",90703,"(562) 202-3627"
"Eden Garden, Inc.",6,"23601 Canzonet St.","Woodland Hills","Los Angeles",91367,"(818) 348-2308"
"Evergreen Senior Living Inc.",6,"23635 Collins St.","Woodland Hills","Los Angeles",91367,"(818) 331-2320"
"Genesis Manor II",6,"2123 Aquinas Ave.","Claremont","Los Angeles",91711,"(909) 262-9802"
"Genesis Manor IV",6,"1691 Genesse Ave.","La Verne","Los Angeles",91750,"(909) 262-9802"
"Genesis Manor V",6,"550 Bethany Circle","Claremont","Los Angeles",91711,"(909) 262-9802"
"Gretchen Manor",6,"20849 Gretchen St.","Winnetka","Los Angeles",91306,"(818) 648-5402"
"In Honor of Our Parents",6,"1317 West 40th Place","Los Angeles","Los Angeles",90037,"(323) 296-7816"
"Leisure Living II",6,"5965 Calmfield Ave.","Agoura Hills","Los Angeles",91301,"(818) 426-0099"
"Leisure Living III",6,"5608 Rock Creek Rd.","Agoura Hills","Los Angeles",91301,"(818) 426-0099"
"Leisure Living IV",6,"6156 Hedgewall Dr.","Westlake Village","Los Angeles",91362,"(818) 426-0099"
"Leisure Living V",6,"30821 Catarina Dr.","Westlake Village","Los Angeles",91362,"(818) 426-0099"
"Leisure Living VI",6,"30822 Janlor Dr.","Westlake Village","Los Angeles",91362,"(818) 426-0099"
"Leisure Village *",6,"6726 Gaviota Ave.","Lake Balboa","Los Angeles",91406,"(818) 402-7867"
"Megan’s Place",6,"7639 Alcove Ave.","North Hollywood","Los Angeles",91605,"(818) 853-7654"
"Mother Rose Manor, The",6,"628 West 52nd Place","Los Angeles","Los Angeles",90037,"(323) 846-1000"
"Mountain View Cottages I",6,"1147 Cleghorn Dr.","Diamond Bar","Los Angeles",91765,"(909) 861-8508"
"Mountain View Cottages IV",6,"21027 Covina Blvd.","Covina","Los Angeles",91724,"(626) 966-4842"
"Northridge Golden Nest Inc.",6,"9314 Tampa Ave.","Northridge","Los Angeles",91324,"(818) 472-2366"
"Oakridge Inn",6,"1281 Oakridge Dr.","Glendale","Los Angeles",91205,"(818) 482-9117"
"Pleasant Valley Manor",6,"20300 Hamlin St.","Winnetka","Los Angeles",91306,"(818) 704-8934"
"Quartz Garden",6,"7260 Quartz Ave.","Winnetka","Los Angeles",91306,"(818) 885-7522"
"South Central Residential Care
Network #2",6,"1551 W. 80th St.","Los Angeles","Los Angeles",90047,"(323) 233-3553"
"Strawberry Cottage",6,"43732 Sentry Lane","Lancaster","Los Angeles",93535,"(661) 802-4672"
"Strawberry Fields",6,"434 E. Lancaster Blvd.","Lancaster","Los Angeles",93535,"(661) 206-7925"
"Teesdale Villa",6,"7663 Teesdale Ave.","North Hollywood","Los Angeles",91605,"(818) 212-8231"
"Agape Cottage II",6,"16202 Cairo Circle","Placentia","Orange",92870,"(949) 394-8707"
"Agape Cottage III",6,"16192 Cairo Circle","Placentia","Orange",92870,"(949) 394-8707"
"Agape Cottage IV",6,"864 N. Ford Ave.","Fullerton","Orange",92832,"(949) 394-8707"
"Agape Cottage V",6,"825 Lilac Drive","Placentia","Orange",92870,"(949) 394-8707"
"Agape Cottage VI",6,"11442 Newport Ave.","Santa Ana","Orange",92705,"(949) 394-8707"
"Family Care for Elderly Inc.",6,"26741 Pepita Dr.","Mission Viejo","Orange",92691,"(949) 589-0145"
"Golden Coast Senior Living I",6,"25982 Via Marejada","Mission Viejo","Orange",92691,"(949) 533-4025"
"Golden Coast Senior Living II",6,"25451 Adriana St.","Mission Viejo","Orange",92691,"(949) 533-4025"
"Golden Coast Senior Living III",6,"24772 Argus Dr.","Mission Viejo","Orange",92691,"(949) 533-4025"
"Golden Coast Senior Living IV",6,"26075 Arcada Dr.","Mission Viejo","Orange",92691,"(949) 533-4025"
"Golden Coast Senior Living VI",6,"18600 Los Leones","Fountain Valley","Orange",92708,"(949) 533-4025"
"Golden Tuscany Care",6,"2825 East Dutch Ave.","Anaheim","Orange",92806,"(714) 234-6348"
"Ryan’s Reach***",6,"1321 Lear Lane","Tustin","Orange",92780,"(657) 247-4527"
"Bridging Lives Assisted Living",6,"3081 Hampton Ave.","Hemet","Riverside",92545,"(714) 962-5531"
"Bridging Lives, Hampton Manor",6,"3061 Hampton Ave.","Hemet","Riverside",92545,"(909) 841-3513"
"Cresencia Care Home",6,"1785 Honors Lane","Corona","Riverside",92883,"(951) 427-5086"
"Desert Cypress Senior Care",6,"69814 Fatima Way","Cathedral City","Riverside",92234,"(760) 409-3188"
"Eagle Glen Care Home",6,"1697 Honors Lane","Corona","Riverside",92883,"(951) 582-9230"
"Senior Focus Residential Care—
Riverside",6,"871 Via Mindi","Riverside","Riverside",92506,"(951) 684-2511"
"Senior Focus Residential Care—
Moreno Valley",6,"10879 Tea Bark Road","Moreno Valley","Riverside",92557,"(951) 247-7876"
"Yorkshire House II",6,"26949 Cornell St.","Hemet","Riverside",92544,"(951)-658-1068"
"Yorkshire House III",6,"26895 Cornell St.","Hemet","Riverside",92544,"(951)-658-1068"
"A Cozy Retirement Home",6,"8781 Kelsey Dr.","Elk Grove","Sacramento",95624,"(916) 667-8821"
"A Cozy Retirement Home II",6,"8609 Banff Vista Dr.","Elk Grove","Sacramento",95624,"(916) 502-3008"
"Agelong Home Care LLC",6,"6962 Gloria Dr.","Sacramento","Sacramento",95831,"(916) 929-2598"
"Camelot Care Home I",6,"8006 Bucks Harbor Way","Sacramento","Sacramento",95828,"(916) 689-5491"
"Camelot Care Home II",6,"9237 Crosscourt Way","Elk Grove","Sacramento",95624,"(916) 688-3214"
"Camelot Care Home III",6,"8604 Banff Vista Dr.","Elk Grove","Sacramento",95624,"(916) 686-1253"
"Camelot Care Home IV",6,"974 Park Ranch Way","Sacramento","Sacramento",95831,"(916) 391-1763"
"Candlelight Home Care",6,"7224 Candlelight Way","Citrus Heights","Sacramento",95621,"(916) 725-5680"
"Caring Families-BV2",6,"8716 Bray Vista Way","Elk Grove","Sacramento",95624,"(916) 686-0420"
"Felicia’s RCFE",6,"9495 Deanna Ave.","Orangevale","Sacramento",95662,"(916) 987-1843"
"Helping Hands",6,"7655 Prince St.","Citrus Heights","Sacramento",95610,"(916) 723-2985"
"Jerida Lane Residential Care",6,"8830 Jerida Lane","Fair Oaks","Sacramento",95628,"(916) 863-6151"
"Karisaa Care Home, LLC",6,"7827 Neyland Way","Sacramento","Sacramento",95829,"(669) 225-3757"
"Living Water, The",6,"7504 Chipmunk Way","Citrus Heights","Sacramento",95610,"(916) 722-4056"
"Chateau at Elk Grove I",6,"8818 Sharkey Ave.","Elk Grove","Sacramento",95624,"(916) 396-3356"
"Chateau at Elk Grove II",6,"8705 Great Court","Elk Grove","Sacramento",95624,"(916) 396-3356"
"The Residences Fair Oaks",6,"4804 Chicago Ave.","Fair Oaks","Sacramento",95628,"(916) 967-2439"
"Zenith Care Home",6,"8302 Foss Lake Way","Antelope","Sacramento",95843,"(916) 725-4872"
"Evans Elderly Residential",6,"13947 Castille St.","Victorville","San Bernardino",92392,"(760) 261-4241"
"Genesis Manor I",6,"6354 Sacramento Ave.","Alta Loma","San Bernardino",91701,"(909) 989-1441"
"Genesis Manor III",6,"6440 Opal St.","Alta Loma","San Bernardino",91701,"(909) 262-9802"
"Genesis Manor VI",6,"6936 Amethyst Ave.","Alta Loma","San Bernardino",91701,"(909) 262-9802"
"Holy Hill Home Care",6,"33922 Colorado St.","Yucaipa","San Bernardino",92399,"(909) 446-0296"
"Holy Hill Home Care East",6,"34034 Nebraska Ln.","Yucaipa","San Bernardino",92399,"(909) 446-1148"
"M & M Board and Care",6,"18245 Cherry St.","Hesperia","San Bernardino",92345,"(760) 245-4031"
"Mountain View Cottages-VIII *",6,"9779 Ramona Ave.","Montclair","San Bernardino",91763,"(909) 608-0615"
"Anne’s Place II",6,"2690 Mary Lane Place","Escondido","San Diego",92025,"(760) 522-1989"
"Oceanside Rest Home",6,"4451 San Joaquin St.","Oceanside","San Diego",92057,"(760) 529-5532"
"Oceanside Rest Home #2",6,"15 Shasta Court","Oceanside","San Diego",92057,"(760) 529-5532"
"Oceanside Rest Home #3",6,"4459  San Joaquin St.","Oceanside","San Diego",92057,"(760) 529-5532"
"Pacific Breeze Home Care",6,"137 Playa Del Rey Ave.","Oceanside","San Diego",92058,"(760) 822-0807"
"Rancho Pacific Home Care",6,"4416 San Joaquin St.","Oceanside","San Diego",92057,"(760) 822-0807"
"RB Senior Residences",6,"15260 Amalia St.","San Diego","San Diego",92129,"(858) 366-8787"
"Right Choice Senior Living I",6,"6354 Cascade St.","San Diego","San Diego",92122,"(858) 641-0131"
"Right Choice Senior Living II",6,"4949 Mt. Longs","San Diego","San Diego",92117,"(619) 246-2003"
"San Joaquin Assisted Living",6,"4478 San Joaquin St.","Oceanside","San Diego",92057,"(760) 754-2774"
"Santa Martha Residential I",6,"6325 Dennison St.","San Diego","San Diego",92122,"(858) 586-6431"
"Santa Martha Residential II",6,"3739 Millikin Ave.","San Diego","San Diego",92122,"(858) 586-6431"
"Santa Martha Residential III",6,"7108 Werner Ave.","San Diego","San Diego",92122,"(858) 586-6431"
"Santa Martha Residential IV",6,"6893 Radcliffe Dr.","San Diego","San Diego",92122,"(858) 518-8667"
"Santa Martha Residential VII",6,"3664 Governor Dr.","San Diego","San Diego",92122,"(858) 583-6431"
"Sapphire Pacific I",6,"262 Silver Creek Glen","Escondido","San Diego",92029,"(714) 322-1910"
"Sapphire Pacific II",6,"839 La Tierra Dr.","San Marcos","San Diego",92078,"(714) 322-1910"
"Tessie Board and Care",6,"7229 Zest St.","San Diego","San Diego",92139,"(619) 773-7410"
"Vibrant Living",6,"5723 Bounty St.","San Diego","San Diego",92120,"(619) 971-8431"
"Woodland Garden I",6,"1717 Katy Place","Escondido","San Diego",92026,"(760) 735-8414"
"Woodland Garden II",6,"1709 Katy Place","Escondido","San Diego",92026,"(760) 735-8414"
"Good Samaritan Home-Barbados*",6,"5315 Barbados Circle","Stockton","San Joaquin",95210,"(209) 406-6610"
